"gene1","gene2","p.value","q.value"
"PPP2R1A","FOXA1",0.000180957411359522,0.00287279788807684
"RPL22","KRAS",0.000181027146228831,0.00287279788807684
"TCF7L2","PIK3R1",0.00018209730589864,0.0028850532124241
"MSH3","FOXA2",0.000182188506952634,0.00288525609125843
"RPL22","NF1",0.000188234466277044,0.00296599043184141
"ZMYM2","RPL22",0.000188234466277044,0.00296599043184141
"RPL22","ASXL2",0.000188827634384469,0.00297623898961371
"RPL22","EZH2",0.000188827634384469,0.00297623898961371
"PPP2R1A","ARAF",0.000190120497488669,0.00299014326676522
"PPP2R1A","THRAP3",0.000190120497488669,0.00299014326676522
"EP300","CTNNB1",0.000190721101282688,0.00299205822210656
"TP53","PHF6",0.000191533407315357,0.00299382551122697
"TP53","PRKAR1A",0.000191533407315357,0.00299382551122697
"TP53","BRAF",0.000191533407315357,0.00299382551122697
"ATM","SPOP",0.000192055935483694,0.0030016945562007
"TGFBR2","KRAS",0.000192495638252113,0.0030016945562007
"MYC","KRAS",0.000192495638252113,0.0030016945562007
"CCND1","MSH6",0.000194007197823283,0.00302030981174182
"CCND1","SPTA1",0.00019550586479956,0.00304245025155405
"ERBB2","ARAF",0.000199099698130151,0.00308429872832077
"CASP8","PIK3R2",0.000199912913478794,0.0030967585759672
"PIK3R1","MET",0.000204183650102072,0.00312616613171113
"KIF1A","PIK3R1",0.000204183650102072,0.00312616613171113
"RPL22","APOB",0.000205337830666688,0.00314342488682623
"FGFR2","JAK3",0.000206347980377225,0.0031490551407517
"FGFR2","RB1",0.000209290004630532,0.00318700887844326
"SOX17","FGFR2",0.000209821263223499,0.00320565943378795
"PPP2R1A","MUC6",0.000210280136058796,0.0032094215557258
"RPL22","SOX17",0.000210440249114026,0.00321808493307691
"RPL22","ZCCHC12",0.000210440249114026,0.00321808493307691
"EPHA2","SPOP",0.000214849168006683,0.00330261567018472
"FGFR3","TP53",0.000216009539369299,0.00332058439791254
"PTPDC1","TP53",0.000216009539369299,0.00332058439791254
"PIK3CA","BCOR",0.000217108933399453,0.00333276002354192
"CTCF","ARHGAP35",0.00021797510168634,0.00334239701658986
"RPL22","ASXL1",0.000219806425117246,0.00334872228259039
"RPL22","AMER1",0.000219806425117246,0.00334872228259039
"KRAS","ERCC2",0.00021985490027012,0.00334872228259039
"PGR","NOTCH1",0.000220042448892755,0.00335377088235693
"PIK3CB","PIK3R1",0.000220734655550136,0.00335377088235693
"CTNNB1","APC",0.000221186466307414,0.00336704084560778
"TP53","NUP133",0.000221336785709228,0.00336704084560778
"FAM46D","TP53",0.000221336785709228,0.00336704084560778
"KRAS","ABL1",0.000225226603561355,0.00342042077970068
"PRKAR1A","KRAS",0.000225226603561355,0.00342042077970068
"RAF1","KRAS",0.000225226603561355,0.00342042077970068
"TET2","KRAS",0.000225270007409632,0.00342042077970068
"HUWE1","FGFR2",0.000226431487797676,0.00344448077838122
"SOX17","AXIN2",0.00022713112324825,0.00346709286632751
"PTPDC1","CCND1",0.00022713112324825,0.00346709286632751
"RPL22","NUP133",0.000227749580670614,0.00347662199403507
"NFE2L2","CTNNB1",0.000228811086368491,0.00349127114686597
"HGF","PIK3R1",0.000229781778698927,0.00349559657445848
"PBRM1","INPPL1",0.000234852814792241,0.00355144151721121
"ERBB4","FOXA2",0.000235356690512936,0.00355144151721121
"ZFP36L2","KIF1A",0.000236745005181818,0.0035676067773184
"FGFR2","DMD",0.000237166710590949,0.0035676067773184
"CCND1","SMARCA1",0.000238065941856339,0.00359602907005889
"PIK3R1","SMAD2",0.000238919179719744,0.0036046049879257
"PPP2R1A","GNAS",0.000239910183249432,0.00361357766710742
"INPPL1","FOXA2",0.00024531511344971,0.00367011140473987
"FGFR2","ARID5B",0.000245549251935622,0.00367011140473987
"ERBB3","SOX17",0.000246812115946234,0.00368445819729862
"CCND1","NF1",0.000247769437469701,0.00369821490360687
"FBXW7","SCAF4",0.000252943820036907,0.00376374335627297
"FGFR2","KDM5C",0.000254102645884413,0.00377281336183822
"RPL22","TSC1",0.000254222430684507,0.00377395657315439
"PTPRC","DAZAP1",0.000254625301319943,0.00377833383196198
"SOX17","BCOR",0.000256491138329309,0.00380818845241954
"RNF43","DMD",0.000257020853591391,0.00380818845241954
"ACVR2A","FGFR2",0.00025783412212385,0.00381248061372984
"CCND1","KMT2C",0.000260529388056543,0.00385612358915203
"ARAF","PIK3R2",0.000263306850792241,0.0039250947403819
"ZFHX3","SPOP",0.000263839512854949,0.0039578542556692
"PDS5B","CTNNB1",0.000263839512854949,0.0039578542556692
"SIN3A","SPOP",0.000263876717578572,0.0039578542556692
"CASP8","CTNNB1",0.00026539735349768,0.00396514114425349
"PBRM1","CTNNB1",0.00026539735349768,0.00396514114425349
"RNF43","SIN3A",0.000265820913312978,0.00396514114425349
"CDK12","DAZAP1",0.000266227932182356,0.00397459755244847
"PSIP1","KRAS",0.000266283110579252,0.00397459755244847
"IRF2","KRAS",0.000266283110579252,0.00397459755244847
"RNF43","ARID5B",0.000268226597539173,0.00400842416881214
"FLT3","PIK3R1",0.000269139376620864,0.00402324638130378
"RNF43","FOXA2",0.000269405838192548,0.00402493374015531
"PPP2R1A","EZH2",0.000270195081517913,0.00402800664746236
"RPL22","SCAF4",0.000273205257090443,0.00407331449509473
"PPP2R1A","ZBTB7B",0.000277115715222353,0.00411228066233748
"PPP2R1A","POLRMT",0.000277115715222353,0.00411228066233748
"PPP2R1A","CDH1",0.000277115715222353,0.00411228066233748
"BRCA1","PIK3R1",0.000277345772479323,0.00411228066233748
"RPL22","DDX3X",0.000279139449791709,0.00413188832401145
"SMAD2","KRAS",0.000279627581896564,0.00413188832401145
"CHEK2","KRAS",0.000279627581896564,0.00413188832401145
"CTNNB1","MTOR",0.000281724779981312,0.00414919043746978
"NFE2L2","CACNA1A",0.000282216665797146,0.00415071712268574
"ACVR1","SOS1",0.000282322818928363,0.00415332116592044
"DDX3X","FGFR2",0.000282847544275458,0.00415357600900729
"INPPL1","TAF1",0.000283523168660278,0.00416167073755894
"PIK3R1","BCOR",0.000285259794097311,0.00417279608325282
"RNF43","PIK3CA",0.00028784156501704,0.00420233607093099
"PLXNB2","ARID5B",0.000288136895804628,0.00420233607093099
"CCND1","SMC1A",0.000292900947272889,0.00426044542990346
"CCND1","ERBB3",0.000292900947272889,0.00426044542990346
"RPL22","CHD3",0.000294394758884012,0.00426367932193236
"PIK3CG","ZFP36L2",0.000294773865234587,0.00427198285365845
"ESR1","ERBB2",0.00029542109668302,0.00430384234077094
"CDK12","TP53",0.000298395014514995,0.00434445681514225
"MYCN","EPHA3",0.000298430271906659,0.00434859136215489
"SOX17","ARID5B",0.000300870029432641,0.00436715753771473
"TBL1XR1","KRAS",0.00030259193001863,0.00437735472096444
"APOB","SPOP",0.000303613527864857,0.00438784230475593
"NFE2L2","INPPL1",0.000303667103634484,0.00438784230475593
"FOXA2","AMER1",0.000304853492702431,0.00438784230475593
"KIT","FOXA2",0.000304853492702431,0.00438784230475593
"DAZAP1","ATR",0.000305061126317158,0.004389361988004
"ARID5B","SPOP",0.000307610839536387,0.00441553738792968
"TP53","PMS1",0.000310773545188722,0.00444359495295015
"PGR","DAZAP1",0.000313955731415223,0.00451079591019387
"CHEK2","DAZAP1",0.000313955731415223,0.00451079591019387
"CDH1","KRAS",0.000315466032771861,0.00452051156907996
"RPL22","KDM5C",0.000316169598213653,0.00452051156907996
"RPL22","PDGFRA",0.000316169598213653,0.00452051156907996
"ERBB3","FBXW7",0.000323455113202361,0.00461956031937511
"THRAP3","CTNNB1",0.000324424775911771,0.0046290991431837
"RPL22","USP9X",0.000324788485667161,0.0046290991431837
"RPL22","ATRX",0.000324788485667161,0.0046290991431837
"RPL22","POLE",0.000324788485667161,0.0046290991431837
"GTF2I","KRAS",0.000325331641418811,0.00464772552465216
"TP53","ACVR1",0.00032547369998211,0.00464772552465216
"ARHGAP35","FBXW7",0.000327568743601521,0.00468715106775277
"FOXA2","KMT2B",0.000328597925571721,0.00468969698347279
"ZMYM3","NFE2L2",0.0003367182907685,0.00481494033348372
"FOXA2","SCAF4",0.000338674351291581,0.00484264844201013
"MYCN","SPOP",0.000343440865140656,0.00492317019670267
"SOX17","DMD",0.000343463842970378,0.00492317019670267
"RPL22","AKT1",0.000344418800966249,0.00494744177293654
"RPL22","FOXA1",0.000344418800966249,0.00494744177293654
"RPL22","BCL2L11",0.000346455932452288,0.00497682485025659
"MACF1","FGFR2",0.000347476353794678,0.00497682485025659
"FBXW7","ZBTB7B",0.000347789929200833,0.00497682485025659
"RPL22","CHD8",0.000348061694932189,0.00497907079184621
"PIK3R1","ZBTB7B",0.000351212095522873,0.00499559055041036
"AXIN2","PIK3R1",0.000351212095522873,0.00499559055041036
"EPHA2","PIK3R1",0.000351212095522873,0.00499559055041036
"TP53","ZC3H12A",0.000351536757030968,0.00499559055041036
"PGR","CHD4",0.000351835502365297,0.00499559055041036
"CTCF","FOXA2",0.00035292920739332,0.00500898118499069
"AKT1","ACVR1",0.000354211750578514,0.00501991381621932
"AKT1","DAZAP1",0.000354211750578514,0.00501991381621932
"RNF43","DICER1",0.000360206545908249,0.0050770457444688
"CCND1","MECOM",0.00036142895505123,0.00509921943817457
"DAZAP1","TAF1",0.000362038635277603,0.00512083541955777
"FOXA2","ERBB2",0.000366955203313498,0.00522655997790941
"MUC6","FOXA2",0.000369064982799885,0.00524844083697494
"MSH2","PPP2R1A",0.000372001092021127,0.00527935971908092
"PPP2R1A","ACVR1",0.000372115724142702,0.00527935971908092
"PIK3R1","ACVR1",0.000378790747781867,0.00533808705531774
"PIK3R1","DAZAP1",0.000378790747781867,0.00533808705531774
"NCOR1","CTNNB1",0.000380031533586084,0.00536405505307838
"FGFR2","LZTR1",0.00038649978275087,0.00544592108161068
"FOXA2","AXIN1",0.000389850297720918,0.00550715198835836
"FOXA2","CYLD",0.000389850297720918,0.00550715198835836
"ARHGAP35","ACVR1",0.00039017780667835,0.00550715198835836
"MYCN","CTNND1",0.000396391381797907,0.00562341391116509
"ACVR2A","PIK3CB",0.000397945317619421,0.00562904272929658
"NFE2L2","DHX9",0.000398602993204277,0.00563300037621188
"SMARCA4","NFE2L2",0.000398602993204277,0.00563300037621188
"FOXA2","ARID5B",0.000399209065230441,0.00563300037621188
"PIK3R1","LZTR1",0.000399689687973931,0.00563300037621188
"PTPRC","PIK3R1",0.000399689687973931,0.00563300037621188
"FGFR2","AXIN2",0.000400402398284731,0.00564738430767553
"TRAF3","KRAS",0.000403410028427504,0.0056777661916409
"MSH6","PIK3R1",0.000404030176793833,0.00568841148906614
"FBXW7","ZFHX3",0.000405723008795234,0.00572429019561899
"ATF7IP","KRAS",0.000407077429951004,0.00573780227887378
"CTCF","PIK3CA",0.000409792172714918,0.00577094467716782
"CUL3","DAZAP1",0.000411672297578794,0.00577401604751313
"SMC3","DAZAP1",0.000411672297578794,0.00577401604751313
"RPL22","DIAPH2",0.000412259382515806,0.00577401604751313
"RPL22","RPS6KA3",0.000412259382515806,0.00577401604751313
"NFE2L2","MYCN",0.000412935962260373,0.00578717718779811
"RBM10","PIK3R2",0.000414432562649385,0.00580853357866676
"SPOP","BCOR",0.000414832141417674,0.00580853357866676
"CHD3","SPOP",0.000414832141417674,0.00580853357866676
"RPL22","CACNA1A",0.000415718260496021,0.00581495733329873
"CREBBP","RPL22",0.000415718260496021,0.00581495733329873
"MED12","SPOP",0.000416427658508275,0.00582671608525183
"SOX17","FAT1",0.000416601563739406,0.00583932158635236
"PBRM1","FBXW7",0.000418851070274003,0.00585136406354106
"NUP93","SPOP",0.000420689868372908,0.00585136406354106
"PPP2R1A","FAM46D",0.000420734838959835,0.00585136406354106
"PPP2R1A","DNMT3A",0.000420734838959835,0.00585136406354106
"CCND1","PLXNB2",0.000421643447334825,0.00587309459574428
"ACVR2A","DAZAP1",0.000422013835823084,0.00587309459574428
"PIK3CA","EP300",0.000425489747400388,0.00590855947297637
"FGFR2","APOB",0.00042811030064686,0.00592244045892926
"HGF","TP53",0.000435089117541661,0.00602559254254201
"MSH3","CTNNB1",0.000436931152672324,0.00602919346861943
"SCAF4","PIK3R1",0.000439575924713602,0.00606765322565237
"ZBTB20","FGFR2",0.000439712620652225,0.00606930065199963
"TNFAIP3","TP53",0.000441158487374279,0.00609105585493218
"RPL22","COL5A1",0.00044391806515659,0.00611495261870918
"RPL22","NCOR1",0.00044391806515659,0.00611495261870918
"SOX17","KMT2C",0.000445169983396647,0.00611730063317602
"CHD4","ARID5B",0.000445266595045475,0.00611730063317602
"CTNNB1","SMC1A",0.000446832793107569,0.00613515483102648
"ERBB3","CTNNB1",0.000446832793107569,0.00613515483102648
"PPP2R1A","BRAF",0.000450263674814501,0.00618861573502166
"PGR","SOS1",0.0004520415669456,0.00621895982163951
"CIC","SPOP",0.000453853398774354,0.00622377362565499
"RPL22","LATS1",0.000454567594360393,0.00622377362565499
"ACVR2A","PIK3CA",0.000455057338723864,0.00622377362565499
"TCF12","KRAS",0.000456116273908316,0.0062288784295736
"MACF1","PIK3R1",0.000457833056140156,0.00628721045393305
"FBXW7","LZTR1",0.000458900758020098,0.00629286088579781
"SMARCA4","FOXA2",0.000463710340008152,0.00633973069565323
"CTNNB1","RASA1",0.000464542891806995,0.00633978992227668
"PIK3R2","AMER1",0.000470524687475302,0.00638082646063896
"ZFP36L2","ATRX",0.000471402323625992,0.00638976564898651
"FOXA2","NCOR1",0.0004715651137137,0.00639637518172881
"ACVR1","MLH1",0.000472714656376527,0.00641268256182056
"HGF","DAZAP1",0.000472714656376527,0.00641268256182056
"PPP2R1A","MLH1",0.000474288098544466,0.00643981537407548
"CTCF","INPPL1",0.000477794960767775,0.00647400887816404
"GABRA6","TP53",0.000478509472114739,0.00647400887816404
"ZMYM2","SPOP",0.00047918379762325,0.00647400887816404
"AKT1","FBXW7",0.000483825633930096,0.00653443336181795
"RNF43","ASXL2",0.000485790767920516,0.00653867689286945
"MAP3K4","PIK3R1",0.000486391385909972,0.00653934809177641
"RPL22","BRCA2",0.000486599596799048,0.00653990340994377
"SOX9","KRAS",0.000489498018036366,0.00656437746246227
"CUL3","PIK3R1",0.000489979576956833,0.00656491940003266
"FOXA2","THRAP3",0.000494616959326318,0.00663651374782212
"NFE2L2","STAG2",0.000494825683698516,0.00664422269658562
"DAZAP1","RASA1",0.000498234941837747,0.00665433627572183
"KRAS","BCL2L11",0.000498427968484415,0.00665754366056231
"CCND1","MLH1",0.000500006952724126,0.00667962616770469
"CCND1","ERBB2",0.000500006952724126,0.00667962616770469
"AKT1","FGFR2",0.000500955109126896,0.00671221843381542
"ZMYM3","ZBTB7B",0.000505746272203376,0.00680408601416493
"PTPRD","DAZAP1",0.000507053806270302,0.00681419638667845
"PGR","PLXNB2",0.00050745353735067,0.00682343531689282
"SOX17","KRAS",0.000509891586284725,0.00682343531689282
"ESR1","KRAS",0.000509891586284725,0.00682343531689282
"PTPDC1","KRAS",0.000509891586284725,0.00682343531689282
"PGR","EPHA2",0.000511808826410376,0.00691560541237249
"CCND1","PGR",0.000511808826410376,0.00691560541237249
"CCND1","USP9X",0.000512013542955342,0.00692130342600406
"ATF7IP","PPP2R1A",0.000512814787855717,0.00694844235850762
"FOXA2","LZTR1",0.000515295210714921,0.00698922026879641
"PTPRC","FOXA2",0.000515295210714921,0.00698922026879641
"PTPRD","FGFR2",0.000515309560621467,0.00698922026879641
"DAZAP1","CTNND1",0.000515731423974425,0.00699545893816392
"FOXA2","HUWE1",0.000516777589547143,0.00701423394751672
"CTNNB1","USP9X",0.000517791878418804,0.00702144293068784
"RPL22","ERBB4",0.000518101966868706,0.0070260883041179
"PPM1D","KRAS",0.000522678290101403,0.00706243294573699
"FBXW7","NSD1",0.00052334366772847,0.0071145391527527
"KMT2C","FBXW7",0.000525190765299168,0.00711883398907581
"NUP93","KRAS",0.000532075093605555,0.00716839020386791
"FOXA2","FLNA",0.000535631347233738,0.00720908165842869
"PPP2R1A","RBM10",0.000535631347233738,0.00720908165842869
"RNF43","MED12",0.000536765096287971,0.00721923799507608
"NUP133","KRAS",0.00054130067883543,0.00726690590784812
"ZMYM3","RPL22",0.000542406917321275,0.00727983537124023
"SPTAN1","RPL22",0.000542406917321275,0.00727983537124023
"NFE2L2","NCOR1",0.000550422015681638,0.00739384303772172
"RPL22","DMD",0.000553531716611493,0.0074005839746821
"PPP2R1A","RARA",0.000554484599972674,0.00743087714584432
"SOX17","SPOP",0.000571627599540325,0.00760855291339178
"SOX17","CACNA1A",0.000573449272425134,0.00764439184514163
"CDKN1A","KRAS",0.000575120688318384,0.00766097135693371
"ELF3","KRAS",0.000575120688318384,0.00766097135693371
"SOX17","KMT2B",0.000579417960718401,0.00767883976343523
"NFE2L2","MTOR",0.000580430332464904,0.00768195335854579
"RPL22","EGFR",0.000580430332464904,0.00768195335854579
"CDK12","SPOP",0.000584017762940642,0.00768195335854579
"FOXA2","STAG2",0.000584017762940642,0.00768195335854579
"PDS5B","FOXA2",0.000584017762940642,0.00768195335854579
"KDM5C","PIK3R1",0.00058403329510311,0.00768195335854579
"ALK","PIK3R1",0.00058403329510311,0.00768195335854579
"SMARCA1","FOXA2",0.000585204353926038,0.00770238960776134
"RPL22","RBM10",0.000585204353926038,0.00770238960776134
"CTNNB1","NSD1",0.000587267419169644,0.00774243283916896
"SIN3A","DAZAP1",0.000589699167144253,0.00776188846740036
"PPP2R1A","MAP2K4",0.000595659685399159,0.00782924925205461
"PPP2R1A","IRF2",0.000595659685399159,0.00782924925205461
"SPOP","NOTCH2",0.000596335212942132,0.00784104422179587
"PGR","GABRA6",0.00059954233325731,0.00787783355111356
"PIK3R1","DHX9",0.000600296571135786,0.00787783355111356
"FBXW7","MLH1",0.000605765298577008,0.00792116051032552
"RPL22","PSIP1",0.000607316549887974,0.00793941816656085
"RPL22","RFC1",0.000608010856424952,0.00795383882335849
"ACVR2A","ZBTB7B",0.000608011204712564,0.00795750748393484
"PIK3R1","RFC1",0.000608547958670977,0.00798367641906458
"RPL22","EPHA3",0.000610036652120141,0.00798530338054248
"RPL22","DHX9",0.000610036652120141,0.00798530338054248
"PPP2R1A","ASXL1",0.00061038030573057,0.00798530338054248
"PPP2R1A","AMER1",0.00061038030573057,0.00798530338054248
"CHD4","ACVR1",0.000610906666023475,0.00799038585808672
"PIK3R1","SF1",0.000612655882096528,0.00800097413341135
"RPL22","TGFBR2",0.000614699741294061,0.00802329761635347
"CTCF","KMT2D",0.000621813795520362,0.00810562725426802
"SMARCA1","PIK3R2",0.000622683815097711,0.00811659742626674
"RPL22","GATA3",0.000622683815097711,0.00811659742626674
"DAZAP1","MGA",0.000624416563070995,0.00813807827733735
"POLE","DAZAP1",0.000624416563070995,0.00813807827733735
"FBXW7","CDK12",0.000626630266991769,0.00816291986449051
"FBXW7","BCOR",0.000627864083662265,0.00816291986449051
"PLXNB2","RB1",0.000633125564170691,0.00822085263981971
"MAP3K4","DAZAP1",0.000634000699887442,0.00822085263981971
"ERBB4","DAZAP1",0.000634000699887442,0.00822085263981971
"ARID5B","ZBTB7B",0.000634472901931787,0.00822294754043969
"NSD1","SPOP",0.000634935992367116,0.00822294754043969
"CTNNB1","PMS2",0.00063638483285187,0.00824544126098691
"KMT2B","SPOP",0.000636747344541464,0.00824544126098691
"FOXA2","PHF6",0.000638410544043954,0.00828697583090354
"CCND1","APOB",0.000641765597222746,0.00830582276998638
"ERBB2","FGFR2",0.000649770704521147,0.00836986207255627
"HGF","FGFR2",0.000649770704521147,0.00836986207255627
"MSH6","SPOP",0.000649781198952214,0.00836986207255627
"RNF43","NUP133",0.000649960112416298,0.00836986207255627
"RNF43","DNMT3A",0.000649960112416298,0.00836986207255627
"RPL22","FLT3",0.000652982102454598,0.0083948716193586
"RPL22","CSDE1",0.000652982102454598,0.0083948716193586
"AKT1","THRAP3",0.000658902158356883,0.00845885713460234
"NIPBL","ZBTB7B",0.000662258589250378,0.00851540676241225
"PPP2R1A","TBX3",0.000662356923647699,0.00851829478106817
"PGR","JAK1",0.000664721860668813,0.0085321424673887
"PGR","EP300",0.000664721860668813,0.0085321424673887
"KMT2C","SPOP",0.00066907843550488,0.00856932505715478
"AKT1","ARID5B",0.000671440681615154,0.00859855418091508
"FOXA2","FLT3",0.000672226939731863,0.00861745621891712
"DAZAP1","JAK3",0.000673492352492728,0.00862321228479012
"RPL22","MED12",0.00067511132590729,0.00866932785095629
"CYLD","TP53",0.000677468979840043,0.00869552914474841
"CHEK2","TP53",0.000677468979840043,0.00869552914474841
"ARID5B","JAK1",0.000678566141626747,0.00871040341692113
"CCND1","ARHGAP35",0.000679375445881931,0.00871795651155135
"CCND1","PIK3CG",0.000688295374481032,0.00885488003874184
"TP53","ABL1",0.000690391064235216,0.00889672013593285
"RAF1","TP53",0.000690391064235216,0.00889672013593285
"FGFR2","PIK3R2",0.000690916159235074,0.00891985505249898
"ZBTB20","FBXW7",0.000691313673134671,0.00892060023807743
"NFE2L2","PMS2",0.000692990242803644,0.00892983438330215
"NFE2L2","AXIN2",0.000692990242803644,0.00892983438330215
"CCND1","PAX5",0.000692990242803644,0.00892983438330215
"PPP2R1A","LATS2",0.000695487728250929,0.00895680564878778
"PPP2R1A","RPS6KA3",0.000695487728250929,0.00895680564878778
"CTNNB1","SOS1",0.000696401254827519,0.00895680564878778
"ERBB3","JAK1",0.000699304129176515,0.00896808042339021
"ERBB3","FGFR2",0.000699304129176515,0.00896808042339021
"ERBB3","NFE2L2",0.000699332373578741,0.00896808042339021
"KRAS","CYSLTR2",0.000699419418733461,0.00896808042339021
"CTNNB1","GNAS",0.000710214058245959,0.00908013008230124
"NFE2L2","ZFHX3",0.000710214058245959,0.00908013008230124
"PIK3R1","ASXL2",0.00071108534287369,0.00908013008230124
"ERBB3","FOXA2",0.000715546349591512,0.00911076028082117
"MSH3","FGFR2",0.000720837679191828,0.00919132237326486
"SOX17","APC",0.000726611665768611,0.00931328542042731
"SOX17","NSD1",0.000729666167020168,0.00934661723544683
"KANSL1","PIK3R1",0.000730787019041949,0.0093482609654718
"NF1","PIK3R1",0.000730787019041949,0.0093482609654718
"FGFR2","PTCH1",0.000732000502278214,0.00935446423427078
"PPP2R1A","CTNND1",0.00073372734431811,0.00936513191918813
"PPP2R1A","BRCA1",0.00073372734431811,0.00936513191918813
"FOXA2","BRCA1",0.000737210121732594,0.00940239412936499
"ZBTB20","ARID5B",0.000738486974550494,0.00942119351284775
"RNF43","MTOR",0.000739305523229555,0.00942119351284775
"NUP133","SPOP",0.00074938148242807,0.00956244766538503
"NFE2L2","RB1",0.000750570264094617,0.00956251386655653
"NFE2L2","MAP3K1",0.000750570264094617,0.00956251386655653
"PGR","PIK3R1",0.000752496532475621,0.00957378559183557
"SOX17","PTCH1",0.000754299366754864,0.00958729555152359
"ACVR2A","SOX17",0.000754299366754864,0.00958729555152359
"RNF43","CUL3",0.000758292556176527,0.00960297018545473
"RNF43","EP300",0.000762388570544532,0.0096172800572547
"RNF43","INPPL1",0.000762388570544532,0.0096172800572547
"NF1","DAZAP1",0.00076496769995428,0.00962851437226457
"NFE2L2","MAP3K4",0.000768438058131447,0.00964475551482144
"PIK3CA","ZFHX3",0.000770851278565298,0.00966718620117147
"PIK3CA","CTNNB1",0.000770851278565298,0.00966718620117147
"CTCF","ZFP36L2",0.000777248722841127,0.00973689212038077
"ACVR1","ASXL1",0.000781504729095065,0.00981755237696345
"CASP8","SPOP",0.000784330720282943,0.00981755237696345
"PBRM1","SPOP",0.000784330720282943,0.00981755237696345
"RPL22","PTPRD",0.000786196561178967,0.00984431509612279
"SOX17","MACF1",0.000786593842967653,0.00984431509612279
"NFE2L2","RPS6KA3",0.000791920007865706,0.009892803966658
"ZBTB20","NFE2L2",0.000791920007865706,0.009892803966658
"FOXA2","TP53",0.000793820613554536,0.00990939921871807
"BRAF","ZBTB7B",0.000794476437487901,0.00994493189987975
"NRAS","ACVR1",0.000796309074578913,0.00997013133696575
"TNFAIP3","SPOP",0.000796632383667056,0.00997452714254649
"PPP2R1A","ASXL2",0.00080273531659218,0.010013256938926
"SF3B1","PPP2R1A",0.00080273531659218,0.010013256938926
"MYH9","PPP2R1A",0.00080273531659218,0.010013256938926
"FLT3","PIK3R2",0.000815927693604122,0.0101539161852333
"TET2","PIK3R2",0.000815927693604122,0.0101539161852333
"SF3B1","PIK3R2",0.000815927693604122,0.0101539161852333
"RNF43","ATM",0.000821805470347248,0.0102102347036586
"CHD4","NIPBL",0.000822402112966025,0.0102102347036586
"RBM10","FGFR2",0.000826662019569701,0.0102526340824397
"TP53","RARA",0.000831590017577107,0.010282501911833
"KRAS","PPP6C",0.000831882685254771,0.0102867128877091
"RPL22","PDS5B",0.000833885477348924,0.0103237161148266
"FOXA2","MAP2K4",0.00083903942829709,0.0103643377735483
"CTNNB1","RB1",0.000848835742689542,0.0104742933053118
"INPPL1","CHD4",0.000849266242464751,0.0105121636900053
"RNF43","MAP2K4",0.000853545127907979,0.0105472829705304
"MECOM","SPOP",0.000857267735982018,0.0105691712566823
"POLRMT","SPOP",0.000857267735982018,0.0105691712566823
"PIK3R1","HIST1H1E",0.000859760130654749,0.0105883170735646
"PPP2R1A","NF2",0.000862841660991887,0.0106437150412717
"MEN1","ACVR1",0.000875214324265798,0.0107695421230898
"IL6ST","DAZAP1",0.000875214324265798,0.0107695421230898
"ESR1","DAZAP1",0.000875214324265798,0.0107695421230898
"ZBTB20","PIK3R1",0.00087733656689804,0.0107742011890263
"CUL3","FOXA2",0.000878726121122473,0.0107780169552246
"NFE2L2","DICER1",0.00087926785421728,0.0107780169552246
"CCND1","MTOR",0.000884660341071762,0.0108271443856211
"CCND1","SIN3A",0.000884660341071762,0.0108271443856211
"PPP2R1A","PMS2",0.000887863759463931,0.010847266806431
"PPP2R1A","EPHA2",0.000887863759463931,0.010847266806431
"PIK3CA","JAK1",0.000893624685000002,0.0109524224002739
"RPL22","TLR4",0.000895010675345451,0.0109668666801021
"ESR1","INPPL1",0.000897438991729714,0.0109963888880784
"ARID1A","PIK3CA",0.000898784765778574,0.0109963888880784
"RPL22","CNBD1",0.000901962221708615,0.0110115016700053
"RPL22","FAM46D",0.000901962221708615,0.0110115016700053
"AR","ZFP36L2",0.000903423704236464,0.0110159961211114
"ARID1A","CHD4",0.000904548334939807,0.0110159961211114
"ZFP36L2","CHD8",0.000907483692529371,0.0110376580018219
"CTNNB1","AXIN1",0.000908466579183272,0.0110390091551141
"IDH1","KRAS",0.000908933485125339,0.0110390091551141
"NFE2L2","CHD4",0.000917056935670316,0.0111112261458522
"NFE2L2","KMT2A",0.000917567082974682,0.0111142132704425
"PIK3CA","AKT1",0.000921876097177919,0.0111532764101077
"RPL22","MSH6",0.0009250721123783,0.0111907262339373
"MYC","FGFR2",0.000930843985503513,0.0112356770114335
"GRIN2D","TP53",0.000934351867618132,0.0112619727261238
"FOXA2","NSD1",0.00093480394893882,0.0112619727261238
"PPP2R1A","EEF2",0.000935829877674468,0.0112937684643385
"FOXA2","ATR",0.000937525808541981,0.0113155380190349
"FOXA2","CACNA1A",0.000937525808541981,0.0113155380190349
"ATR","SPOP",0.000941646962803238,0.011332462960093
"RNF43","MYCN",0.000943827852258055,0.0113744753395413
"KRAS","PHF6",0.000947386991079519,0.0113744753395413
"BRAF","KRAS",0.000947386991079519,0.0113744753395413
"RXRA","KRAS",0.000947386991079519,0.0113744753395413
"PIK3R1","JAK1",0.000955375285771004,0.011465145428864
"EGFR","KRAS",0.000957534888695185,0.0114731877038387
"IRF6","KRAS",0.000959393160692664,0.0114860011210401
"PGR","KRAS",0.000959393160692664,0.0114860011210401
"ALK","DAZAP1",0.000965862298838676,0.0115867137280616
"PDGFRA","DAZAP1",0.000965862298838676,0.0115867137280616
"CCND1","KRAS",0.000966384836703838,0.0115867137280616
