"gene1","gene2","p.value","q.value"
"ATM","KRAS",2.8622461876825e-08,8.95941571586828e-07
"TP53","DHX9",3.05168807443835e-08,9.42520486192409e-07
"PIK3CG","TP53",3.05168807443835e-08,9.42520486192409e-07
"TP53","RFC1",3.18583696690459e-08,9.86635757291295e-07
"PTPRD","TP53",3.29505428755423e-08,1.01895726408173e-06
"KRAS","ASXL2",3.40668625175583e-08,1.0379544788107e-06
"FLT3","KRAS",3.40668625175583e-08,1.0379544788107e-06
"ARHGAP35","PIK3R1",3.43424539344625e-08,1.0379544788107e-06
"PPP2R1A","MED12",3.4356182387144e-08,1.0379544788107e-06
"SPTAN1","TP53",3.94531102048429e-08,1.18408701736845e-06
"MSH3","TP53",4.17883446495152e-08,1.27320036516473e-06
"TP53","NUP93",4.25070785178271e-08,1.27997403215992e-06
"EZH2","TP53",4.39724830480951e-08,1.33587142478921e-06
"EPAS1","KRAS",4.45218927275527e-08,1.34724358092609e-06
"ALB","KRAS",4.45218927275527e-08,1.34724358092609e-06
"PPP2R1A","SPTA1",4.46440232784474e-08,1.35484177906281e-06
"PIK3CB","KRAS",4.82080847348322e-08,1.48208773382044e-06
"PPP2R1A","DMD",4.91752548776096e-08,1.48571353500091e-06
"INPPL1","KRAS",4.92058532860491e-08,1.48571353500091e-06
"SOX17","TP53",5.07914731240623e-08,1.54164731352936e-06
"MSH6","TP53",5.18586350124217e-08,1.57254130675173e-06
"DMD","KRAS",5.21459784162451e-08,1.57254130675173e-06
"ZFHX3","KRAS",5.25366831355101e-08,1.58481008821961e-06
"TP53","SOS1",5.39059811129785e-08,1.6118988394765e-06
"PIK3CG","KRAS",5.52601036486125e-08,1.64776705194835e-06
"ZMYM3","KRAS",5.71835012770562e-08,1.68084813546836e-06
"PPP2R1A","NCOR1",5.76160983940565e-08,1.68084813546836e-06
"TP53","PMS2",5.83556961966318e-08,1.699053552582e-06
"PPP2R1A","CHD4",6.47644832127262e-08,1.88495077951767e-06
"PTPRD","PIK3R1",6.83664085675328e-08,2.01838154026781e-06
"RNF43","SPOP",6.9057830644902e-08,2.02735430445707e-06
"CDK12","KRAS",6.96317898268516e-08,2.02735430445707e-06
"PLCB4","KRAS",6.96317898268516e-08,2.02735430445707e-06
"TP53","STAG2",7.3778135480089e-08,2.1404117264957e-06
"MET","KRAS",8.16818761863535e-08,2.35161464111067e-06
"TP53","KEL",8.43679775458174e-08,2.41510030529011e-06
"TLR4","TP53",8.43679775458174e-08,2.41510030529011e-06
"CREBBP","PPP2R1A",8.49941740050906e-08,2.43392104948027e-06
"PPP2R1A","ARHGAP35",8.9508246575786e-08,2.60705585565447e-06
"FGFR2","SPOP",9.51570138313615e-08,2.76152635648769e-06
"KRAS","SETBP1",1.0139847400569e-07,2.93357574859751e-06
"LATS1","KRAS",1.0139847400569e-07,2.93357574859751e-06
"TLR4","KRAS",1.02833596828427e-07,2.98289281719897e-06
"STAG2","KRAS",1.05534298482467e-07,3.04815335711808e-06
"PDS5B","KRAS",1.05534298482467e-07,3.04815335711808e-06
"PLCB4","TP53",1.16118844701946e-07,3.35660756916339e-06
"ERBB3","KRAS",1.20692993779023e-07,3.45590448324208e-06
"ACVR1B","TP53",1.22352715018433e-07,3.47673114218118e-06
"ACVR2A","FBXW7",1.26586087870706e-07,3.56442699872126e-06
"PPP2R1A","FLNA",1.32300981823039e-07,3.69676656149692e-06
"PTPRD","KRAS",1.3333925982434e-07,3.69676656149692e-06
"PPP2R1A","MACF1",1.33826463071513e-07,3.70396124908319e-06
"ALK","TP53",1.42218685250882e-07,3.96506953208649e-06
"PDGFRA","TP53",1.42218685250882e-07,3.96506953208649e-06
"CTNNB1","KMT2D",1.4322551281456e-07,3.97671821162202e-06
"PIK3R1","DMD",1.43527039183908e-07,3.97977558399471e-06
"CASP8","KRAS",1.51818760170204e-07,4.2414134818649e-06
"PMS2","KRAS",1.52548689686819e-07,4.24813722997827e-06
"KRAS","KMT2D",1.5301230509924e-07,4.24976419370138e-06
"CREBBP","KRAS",1.54021723319363e-07,4.24976419370138e-06
"TP53","MLH1",1.58088644322568e-07,4.33834584868805e-06
"BRCA1","TP53",1.75866320555975e-07,4.86438944852753e-06
"PIK3CA","KRAS",1.90245824253868e-07,5.21902621893809e-06
"TP53","RB1",1.91194712524087e-07,5.22319717771987e-06
"CHD3","KRAS",2.03478380535049e-07,5.67294979630564e-06
"MYH9","KRAS",2.0374876995676e-07,5.67294979630564e-06
"CTNNB1","DAZAP1",2.06395388420833e-07,5.73052829925578e-06
"PPP2R1A","USP9X",2.06513673924376e-07,5.73052829925578e-06
"TP53","XPO1",2.11477326585996e-07,5.87704080964973e-06
"ARID5B","KRAS",2.19523141498812e-07,5.9624201716186e-06
"ARID1A","FBXW7",2.20859214196624e-07,5.9624201716186e-06
"PPP2R1A","SMC1A",2.37719040689345e-07,6.43129237192833e-06
"SPTAN1","KRAS",2.65529829325885e-07,7.30882463676671e-06
"TP53","DAZAP1",2.7552031260332e-07,7.52208521367625e-06
"PPP2R1A","ATM",2.756196075218e-07,7.52208521367625e-06
"INPPL1","FBXW7",2.79204549815145e-07,7.54000356827759e-06
"PDGFRA","KRAS",2.79903305332666e-07,7.54000356827759e-06
"LATS2","TP53",2.81528746261396e-07,7.54000356827759e-06
"ZBTB20","TP53",2.81528746261396e-07,7.54000356827759e-06
"DHX9","KRAS",2.81627655880272e-07,7.54000356827759e-06
"CARD11","KRAS",2.81627655880272e-07,7.54000356827759e-06
"RPL22","PIK3R1",2.95325679896345e-07,7.9058746747693e-06
